year;dept;fullDept;office;fullOffice;supplier;category;fullCategory;amount
2011;DFF;Département Fédéral des Finances;GS-EFD;Office Fédéral de Quelque Chose;Swisscom;Bureautique;Bureautique & équipement de bureau;80000
2011;DFF;Département Fédéral des Finances;EZV;Office Fédéral de Quelque Chose;Swisscom;Bureautique;Bureautique & équipement de bureau;344000
2011;DFF;Département Fédéral des Finances;BIT;Office Fédéral de Quelque Chose;Swisscom;Bureautique;Bureautique & équipement de bureau;48858000
2011;DFF;Département Fédéral des Finances;BBL;Office Fédéral de Quelque Chose;Swisscom;Bureautique;Bureautique & équipement de bureau;4154000
2011;DFF;Département Fédéral des Finances;EZV;Office Fédéral de Quelque Chose;Atos;Bureautique;Bureautique & équipement de bureau;20328000
2011;DFF;Département Fédéral des Finances;BBL;Office Fédéral de Quelque Chose;Gross;Bureautique;Bureautique & équipement de bureau;16337000
2011;DFF;Département Fédéral des Finances;GS-EFD;Office Fédéral de Quelque Chose;IBM;Bureautique;Bureautique & équipement de bureau;190000
2011;DFF;Département Fédéral des Finances;BIT;Office Fédéral de Quelque Chose;IBM;Bureautique;Bureautique & équipement de bureau;2640000
2011;DFF;Département Fédéral des Finances;BBL;Office Fédéral de Quelque Chose;IBM;Bureautique;Bureautique & équipement de bureau;13504000
2011;DFF;Département Fédéral des Finances;BBL;Office Fédéral de Quelque Chose;Microsoft;Bureautique;Bureautique & équipement de bureau;14942000
2011;DFF;Département Fédéral des Finances;BIT;Office Fédéral de Quelque Chose;Microsoft;Bureautique;Bureautique & équipement de bureau;4000
2011;DFF;Département Fédéral des Finances;BBL;Office Fédéral de Quelque Chose;Orell Fuessli;Bureautique;Bureautique & équipement de bureau;13724000
2011;DFF;Département Fédéral des Finances;SIF;Office Fédéral de Quelque Chose;Unknown;Bureautique;Bureautique & équipement de bureau;794895000
2011;DFF;Département Fédéral des Finances;GS-EFD;Office Fédéral de Quelque Chose;Unknown;Bureautique;Bureautique & équipement de bureau;6744561.12
2011;DFF;Département Fédéral des Finances;EFV;Office Fédéral de Quelque Chose;Unknown;Bureautique;Bureautique & équipement de bureau;10747391.13
2011;DFF;Département Fédéral des Finances;ZAS;Office Fédéral de Quelque Chose;Unknown;Bureautique;Bureautique & équipement de bureau;5427772.22
2011;DFF;Département Fédéral des Finances;swissmint;Office Fédéral de Quelque Chose;Unknown;Bureautique;Bureautique & équipement de bureau;11673292.54
2011;DFF;Département Fédéral des Finances;ESTV;Office Fédéral de Quelque Chose;Unknown;Bureautique;Bureautique & équipement de bureau;26047920.45
2011;DFF;Département Fédéral des Finances;EZV;Office Fédéral de Quelque Chose;Unknown;Bureautique;Bureautique & équipement de bureau;78341113.61
2011;DFF;Département Fédéral des Finances;BIT;Office Fédéral de Quelque Chose;Unknown;Bureautique;Bureautique & équipement de bureau;142940571.3
2011;DFF;Département Fédéral des Finances;EFK;Office Fédéral de Quelque Chose;Unknown;Bureautique;Bureautique & équipement de bureau;1666096.71
2011;DFF;Département Fédéral des Finances;EPA;Office Fédéral de Quelque Chose;Unknown;Bureautique;Bureautique & équipement de bureau;7341238.36
2011;DFF;Département Fédéral des Finances;BBL;Office Fédéral de Quelque Chose;Unknown;Bureautique;Bureautique & équipement de bureau;519550745.5
2011;DFF;Département Fédéral des Finances;SIF;Office Fédéral de Quelque Chose;Unknown;Bureautique;Bureautique & équipement de bureau;655630.9
2011;Chancellerie;Chancellerie Fédérale;Dummy;Office Fédéral de Quelque Chose;Unknown;Bureautique;Bureautique & équipement de bureau;25000000
2011;DFAE;Département Fédéral des Affaires Etrangères;Dummy;Office Fédéral de Quelque Chose;Unknown;Bureautique;Bureautique & équipement de bureau;110000000
2011;DFI;Département Fédéral de l'Intérieur;Dummy;Office Fédéral de Quelque Chose;Unknown;Bureautique;Bureautique & équipement de bureau;113000000
2011;DFJP;Département Fédéral de Justice et Police;Dummy;Office Fédéral de Quelque Chose;Unknown;Bureautique;Bureautique & équipement de bureau;140000000
2011;DEFER;Département Fédéral de l'Economie;Dummy;Office Fédéral de Quelque Chose;Unknown;Bureautique;Bureautique & équipement de bureau;98000000
2011;DDPS;Département Fédéral de la Défense;Dummy;Office Fédéral de Quelque Chose;Unknown;Bureautique;Bureautique & équipement de bureau;2747000000
