year;dept;fullDept;office;fullOffice;supplier;category;fullCategory;amount
2011;DFF;D_partement F_d_ral des Finances;GS-EFD;Office F_d_ral de Quelque Chose;Swisscom;Bureautique;Bureautique & _quipement de bureau;80000
2011;DFF;D_partement F_d_ral des Finances;EZV;Office F_d_ral de Quelque Chose;Swisscom;Bureautique;Bureautique & _quipement de bureau;344000
2011;DFF;D_partement F_d_ral des Finances;BIT;Office F_d_ral de Quelque Chose;Swisscom;Bureautique;Bureautique & _quipement de bureau;48858000
2011;DFF;D_partement F_d_ral des Finances;BBL;Office F_d_ral de Quelque Chose;Swisscom;Bureautique;Bureautique & _quipement de bureau;4154000
2011;DFF;D_partement F_d_ral des Finances;EZV;Office F_d_ral de Quelque Chose;Atos;Bureautique;Bureautique & _quipement de bureau;20328000
2011;DFF;D_partement F_d_ral des Finances;BBL;Office F_d_ral de Quelque Chose;Gross;Bureautique;Bureautique & _quipement de bureau;16337000
2011;DFF;D_partement F_d_ral des Finances;GS-EFD;Office F_d_ral de Quelque Chose;IBM;Bureautique;Bureautique & _quipement de bureau;190000
2011;DFF;D_partement F_d_ral des Finances;BIT;Office F_d_ral de Quelque Chose;IBM;Bureautique;Bureautique & _quipement de bureau;2640000
2011;DFF;D_partement F_d_ral des Finances;BBL;Office F_d_ral de Quelque Chose;IBM;Bureautique;Bureautique & _quipement de bureau;13504000
2011;DFF;D_partement F_d_ral des Finances;BBL;Office F_d_ral de Quelque Chose;Microsoft;Bureautique;Bureautique & _quipement de bureau;14942000
2011;DFF;D_partement F_d_ral des Finances;BIT;Office F_d_ral de Quelque Chose;Microsoft;Bureautique;Bureautique & _quipement de bureau;4000
2011;DFF;D_partement F_d_ral des Finances;BBL;Office F_d_ral de Quelque Chose;Orell Fuessli;Bureautique;Bureautique & _quipement de bureau;13724000
2011;DFF;D_partement F_d_ral des Finances;SIF;Office F_d_ral de Quelque Chose;Unknown;Bureautique;Bureautique & _quipement de bureau;794895000
2011;DFF;D_partement F_d_ral des Finances;GS-EFD;Office F_d_ral de Quelque Chose;Unknown;Bureautique;Bureautique & _quipement de bureau;6744561.12
2011;DFF;D_partement F_d_ral des Finances;EFV;Office F_d_ral de Quelque Chose;Unknown;Bureautique;Bureautique & _quipement de bureau;10747391.13
2011;DFF;D_partement F_d_ral des Finances;ZAS;Office F_d_ral de Quelque Chose;Unknown;Bureautique;Bureautique & _quipement de bureau;5427772.22
2011;DFF;D_partement F_d_ral des Finances;swissmint;Office F_d_ral de Quelque Chose;Unknown;Bureautique;Bureautique & _quipement de bureau;11673292.54
2011;DFF;D_partement F_d_ral des Finances;ESTV;Office F_d_ral de Quelque Chose;Unknown;Bureautique;Bureautique & _quipement de bureau;26047920.45
2011;DFF;D_partement F_d_ral des Finances;EZV;Office F_d_ral de Quelque Chose;Unknown;Bureautique;Bureautique & _quipement de bureau;78341113.61
2011;DFF;D_partement F_d_ral des Finances;BIT;Office F_d_ral de Quelque Chose;Unknown;Bureautique;Bureautique & _quipement de bureau;142940571.3
2011;DFF;D_partement F_d_ral des Finances;EFK;Office F_d_ral de Quelque Chose;Unknown;Bureautique;Bureautique & _quipement de bureau;1666096.71
2011;DFF;D_partement F_d_ral des Finances;EPA;Office F_d_ral de Quelque Chose;Unknown;Bureautique;Bureautique & _quipement de bureau;7341238.36
2011;DFF;D_partement F_d_ral des Finances;BBL;Office F_d_ral de Quelque Chose;Unknown;Bureautique;Bureautique & _quipement de bureau;519550745.5
2011;DFF;D_partement F_d_ral des Finances;SIF;Office F_d_ral de Quelque Chose;Unknown;Bureautique;Bureautique & _quipement de bureau;655630.9
2011;Chancellerie;Chancellerie F_d_rale;Dummy;Office F_d_ral de Quelque Chose;Unknown;Bureautique;Bureautique & _quipement de bureau;25000000
2011;DFAE;D_partement F_d_ral des Affaires Etrangères;Dummy;Office F_d_ral de Quelque Chose;Unknown;Bureautique;Bureautique & _quipement de bureau;110000000
2011;DFI;D_partement F_d_ral de l'Int_rieur;Dummy;Office F_d_ral de Quelque Chose;Unknown;Bureautique;Bureautique & _quipement de bureau;113000000
2011;DFJP;D_partement F_d_ral de Justice et Police;Dummy;Office F_d_ral de Quelque Chose;Unknown;Bureautique;Bureautique & _quipement de bureau;140000000
2011;DEFER;D_partement F_d_ral de l'Economie;Dummy;Office F_d_ral de Quelque Chose;Unknown;Bureautique;Bureautique & _quipement de bureau;98000000
2011;DDPS;D_partement F_d_ral de la D_fense;Dummy;Office F_d_ral de Quelque Chose;Unknown;Bureautique;Bureautique & _quipement de bureau;2747000000
2012;DFF;D_partement F_d_ral des Finances;BBL;Office F_d_ral de Quelque Chose;Swisscom;Bureautique;Bureautique & _quipement de bureau;682211745.5
2013;DFF;D_partement F_d_ral des Finances;BBL;Office F_d_ral de Quelque Chose;Swisscom;Bureautique;Bureautique & _quipement de bureau;482211745.5
2014;DFF;D_partement F_d_ral des Finances;BBL;Office F_d_ral de Quelque Chose;Swisscom;Bureautique;Bureautique & _quipement de bureau;382211745.5
