original;officeDe;fullOfficeDe;officeFr;fullOfficeFr;officeEn;fullOfficeEn;officeIt;fullOfficeIt
Bundeskanzlei;BK;Bundeskanzlei;ChF;Chancellerie fédérale;FCh;Federal Chancellery;CaF;Cancelleria federale
1005 EDA;EDA;Eidgenössisches Departement für auswärtige Angelegenheiten;DFAE;Département fédéral des affaires étrangères;FDFA;Federal Department of Foreign Affairs;DFAE;Dipartimento federale degli affari esteri
1006 DEZA;DEZA;Direktion für Entwicklung und Zusammenarbeit;DDC;Direction du développement et de la coopération;SDC;Swiss Agency for Development and Cooperation;DSC;Direzione dello sviluppo e della cooperazione
1006 EDA;DEZA;Direktion für Entwicklung und Zusammenarbeit;DDC;Direction du développement et de la coopération;SDC;Swiss Agency for Development and Cooperation;DSC;Direzione dello sviluppo e della cooperazione
1097 Informatik EDA;IT EDA;Informatik EDA;IT DFAE;Informatique DFAE;FDFA-IT;IT FDFA;IT DFAE;Informatica DFAE
1112 BRZ;BRZ;Bundesreisezentrale;CVC;Centrale des voyages de la Confédération;SGTC;Swiss Government Travel Centre;CVC;Centrale viaggi della Confederazione
BAG;BAG;Bundesamt für Gesundheit;OFSP;Office fédéral de la santé publique;FOPH;Federal Office of Public Health;UFSP;Ufficio federale della sanità pubblica
BAK;BAK;Bundesamt für Kultur;OFC;Office fédéral de la culture;FOC;Federal Office of Culture;UFC;Ufficio federale della cultura
BAR;BAR;Schweizerisches Bundesarchiv;AFS;Archives fédérales suisses;SFA;Swiss Federal Archives;AFS;Archivio federale svizzero
BFS;BFS;Bundesamt für Statistik;OFS;l'Office fédéral de la statistique;FSO;Federal Statistical Office;UST;Ufficio federale di statistica
BLV;BLV;Bundesamt für Lebensmittelsicherheit und Veterinärwesen;OSAV;Office fédéral de la sécurité alimentaire et des affaires vétérinaires;FSVO;Federal Food Safety and Veterinary Office;USAV;Ufficio federale della sicurezza alimentare e di veterinaria
BSV;BSV;Bundesamt für Sozialversicherungen;OFAS;Office fédéral des assurances sociales;FSIO;Federal Social Insurance Office;UFAS;Ufficio federale delle assicurazioni sociali
BVET;BVET;Bundesamt für Veterinärwesen;;;;;;
EBG;EBG;Eidgenössisches Büro für die Gleichstellung von Frau und Mann;BFEG;Bureau fédéral de l'égalité entre femmes et hommes;FOGE;Federal Office for Gender Equality FOGE;UFU;Ufficio federale per l'uguaglianza fra donna e uomo
GS-EDI;GS-EDI;Generalsekretariat Innendepartement;SG;;;;;
IVI;IVI;Institut für Virologie und Immunologie;IVI;Institut de virologie et d'immunologie;IVI;The Institute of Virology and Immunology;IVI;Istituto di virologia e di immunologia
MeteoSchweiz;MeteoSchweiz;Meteo Schweiz;;Office fédéral de météorologie et de climatologie MétéoSuisse;;Federal Office of Meteorology and Climatology MeteoSwiss;;Ufficio federale di meteorologia e climatologia MeteoSvizzera
NB;NB;Nationalbibliothek;BN;Bibliothèque nationale suisse;NL;Swiss National Library;BN;Biblioteca nazionale svizzera
SBF;SBF;Staatssekretariat für Bildung und Forschung;;;;;;
BBL;BBL;Bundesamt für Bauten und Logistik;OFCL;Office fédéral des constructions et de la logistique;;;UFCL;Ufficio federale delle costruzioni e della logistica
BIT;BIT;Bundesamt für Informatik und Telekommunikation;OFIT;Office fédéral de l’informatique et de la télécommunication;FOITT;Federal Office of Information Technology, Systems and Telecommunication;;Ufficio federale dell'informatica e della telecomunicazione
EFK;EFK;Eidgenössische Finanzkontrolle;CDF;Contrôle fédéral des finances;SFAO;Swiss Federal Audit Office;CDF;Il Controllo federale delle finanze vi dà il benvenuto
EFV;EFV;Eidgenössische Finanzverwaltung;AFF;Administration fédérale des finances;FFA;Federal Finance Administration;AFF;Amministrazione federale delle finanze
EPA;EPA;Eidgenössisches Personalamt;OFPER;Office fédéral du personnel;;;UFPER;Ufficio federale del personale
ESTV;ESTV;Eidgenössische Steuerverwaltung;AFC;Administration fédérale des contributions;FTA;Federal Tax Administration;AFC;Amministrazione federale delle contribuzioni
EZV;EZV;Eidgenössische Zollverwaltung;AFD;Administration fédérale des douanes;SCA;Swiss Customs Administration;AFD;Amministrazione federale delle dogane
GS-EFD;GS-EFD;Generalsekretariat Finanzdepartement;SG-DFF;Secrétariat général DFF;GS-FDF;General Secretariat FDF;SG-DFF;Segreteria generale DFF
ISB;ISB;Informatiksteuerungsorgan Bund;UPIC;Unité de pilotage informatique de la Confédération;FITSU;Federal IT Steering Unit;ODIC;Organo direzione informatica della Confederazione
SIF;SIF;Staatssekretariat für internationale Finanzfragen;SFI;Secrétariat d'Etat aux questions financières internationales;SIF;State Secretariat for International Financial Matters;SFI;Segreteria di Stato per le questioni finanziarie internazionali
swissmint;swissmint;swissmint;swissmint;swissmint;swissmint;swissmint;swissmint;swissmint
ZAS;ZAS;Zentrale Ausgleichsstelle;CdC;Centrale de compensation;CCO;Central Compensation Office;UCC;Ufficio centrale di compensazione
BFM;BFM;Bundesamt für Migration (heute Staatssekretariat);;;;;;
BJ;BJ;Bundesamt für Justiz;OFJ;Office fédéral de la justice;FOJ;Federal Office of Justice;UFG;Ufficio federale di giustizia
ESBK;ESBK;Eidgenössische Spielbankenkommission;CFMJ;Commission fédérale des maisons de jeu;FGB;Federal Gaming Board;CFCG;Commissione federale delle case da gioco CFCG
fedpol;fedpol;Bundesamt für Polizei;fedpol;Office fédéral de la police;;Federal Office of Police;fedpol;Ufficio federale di polizia
GS-EJPD;GS-EJPD;Generalsekretariat Justiz- und Polizeidepartement;SG-DFJP;Secrétariat Général de Département fédéral de justice et police DFJP;GS-FDJP;General Secretariat Federal Department of Justice and Police;SG-DFGP;Segreteria generale di Dipartimento federale di giustizia e polizia
ISC-EJPD;ISC-EJPD;Informatik Service Center Justiz und Polizeidepartement;CSI-DFJP;Le Centre de service informatique;ISC-FDJP;The IT Service Center;CSI-DFGP;Il Centro servizi informatici
METAS;METAS;Eidgenössisches Institut für Metrologie;METAS;Institut fédéral de métrologie;METAS;Federal Institute of Metrology;METAS;Istituto federale di metrologia
SIR;SIR;Schweizerisches Institut für Rechtsvergleichung;;Institut suisse de droit comparé;;Swiss Institute of Comparative Law;;Istituto svizzero di diritto comparato
ARE;ARE;Bundesamt für Raumentwicklung;ARE;Office fédéral du développement territorial;ARE;Federal Office for Spatial Development;ARE;Ufficio federale dello sviluppo territoriale
ASTRA;ASTRA;Bundesamt für Strassen;OFROU;Office fédéral des routes;FEDRO;Federal roads office;USTRA;Ufficio federale delle strade
BAFU;BAFU;Bundesamt für Umwelt;OFEV;Office fédéral de l'environnement;FOEN;Federal Office for the Environment;UFAM;Ufficio federale dell'ambiente
BAKOM;BAKOM;Bundesamt für Kommunikation;OFCOM;Office fédéral de la communication;OFCOM;Federal Office of Communications;UFCOM;Ufficio federale delle comunicazioni
BAV;BAV;Bundesamt für Verkehr;OFT;Office fédéral des transports;FOT;Federal Office of Transport;UFT;Ufficio federale dei trasporti
BAZL;BAZL;Bundesamt für Zivilluftfahrt;OFAC;Office fédéral de l'aviation civile;FOCA;Federal Office of Civil Aviation;UFAC;Ufficio federale dell'aviazione civile
BFE;BFE;Bundesamt für Energie;OFEN;Office fédéral de l'énergie;SFOE;Swiss Federal Office of Energy;UFE;Ufficio federale dell'energia
GS-UVEK;GS-UVEK;Generalsekretariat UVEK;;;;;;
RegInfra;RegInfra;Regulierungsbehörden Infrastruktur;RegInfra;Autorités de régulation des infrastructures;;;RegInfra;Autorità di regolazione delle infrastrutture
SUST;SUST;Schweizerische Unfalluntersuchungsstelle;SESE;Le Service suisse d'enquête de sécurité;STSB;Swiss Transportation Safety Investigation Board;SISI;Servizio d'inchiesta svizzero sulla sicurezza
ar Beschaffung;ar Beschaffung;Armasuisse Beschaffungen;;Armasuisse Acquisitions;;Armasuisse Procurement;;Armasuisse Acquisti
ar Immo;ar Immo;Armasuisse Immobilien;;Armasuisse Immobilier;;Armasuisse Real Estate;;Armasuissermasuisse Immobili
ar Rüstung;ar Rüstung;Armasuisse Rüstung;;Armasuisse Armement;;Armasuisse Procurement;;Armasuisse Armamento
